Player,Span,Matches,Innings,Runs,Average,highestscore,100s,50s
EJG Morgan (ENG/IRE),2006-2022,379,361,10859,35.6,148,16,64
MV Boucher (Afr/ICC/SA),1997-2012,467,448,10469,29,147*,6,61
DB Vengsarkar (IND),1976-1992,245,305,10376,39.3,166,18,58
ME Trescothick (ENG),2000-2006,202,268,10326,40.97,219,26,52
G Gambhir (IND),2003-2016,242,283,10324,38.95,206,20,63
PR Stirling (IRE),2008-2025,336,335,10324,32.16,177,16,58
BRM Taylor (ZIM),2004-2025,301,332,10292,33.52,171,18,57
MD Crowe (NZ),1982-1995,220,271,10148,41.93,299,21,52
GW Flower (ZIM),1992-2010,288,337,10028,32.03,201*,12,55
PD Collingwood (ENG/World),2001-2017,301,329,9934,35.47,206,15,49
Ijaz Ahmed (PAK),1986-2001,310,324,9879,33.94,211,22,49
DR Martyn (AUS),1992-2006,279,295,9872,42.92,165,18,61
SD Hope (WI),2015-2025,252,287,9776,38.48,170,24,45
DM Jones (AUS),1984-1994,216,250,9699,45.32,216,18,60
H Masakadza (ZIM),2001-2019,313,350,9543,27.9,178*,10,53
KL Rahul (IND),2014-2025,230,269,9536,40.06,199,20,62
MA Atherton (ENG),1989-2001,169,266,9519,37.18,185*,18,58
CH Lloyd (WI),1966-1985,197,244,9492,44.98,242*,20,50
GS Chappell (AUS),1970-1984,161,223,9441,49.68,247*,27,45
WJ Cronje (SA),1992-2000,256,286,9279,37.71,135,8,62
JG Wright (NZ),1978-1993,231,296,9225,32.03,185,13,47
G Boycott (ENG),1964-1982,144,227,9196,45.98,246*,23,51
JP Duminy (SA),2004-2019,326,328,9154,36.18,166,10,46
GP Thorpe (ENG),1993-2005,182,256,9124,42.43,200*,16,60
WU Tharanga (Asia/SL),2005-2019,292,307,9112,31.86,174*,18,45
N Kapil Dev (IND),1978-1994,356,382,9031,27.53,175*,9,41
Azhar Ali (PAK),2010-2022,150,233,8987,41.03,302*,22,47
SC Williams (ZIM),2005-2025,273,290,8968,34.75,174,14,56
AJ Finch (AUS),2011-2022,254,255,8804,36.68,172,19,51
TM Head (AUS),2016-2026,191,232,8796,40.91,175,19,42
Sikandar Raza (ZIM),2013-2025,302,308,8793,31.97,141,9,51
Mohammad Rizwan (PAK),2015-2025,247,253,8734,43.23,171*,8,61
Ramiz Raja (PAK),1984-1997,255,291,8674,32,122,11,53
AJ Lamb (ENG),1982-1992,201,257,8666,37.51,142,18,44
FDM Karunaratne (SL),2011-2025,150,237,8538,37.77,244,17,50
JN Rhodes (SA),1992-2003,297,300,8467,35.27,121,5,50
DJ Cullinan (SA),1993-2001,208,248,8414,38.24,275*,17,43
AM Rahane (IND),2011-2023,195,251,8414,35.95,188,15,51
Litton Das (BAN),2015-2025,267,302,8341,29.06,176,10,47
HP Tillakaratne (SL),1986-2004,283,299,8334,35.61,204*,13,33
CL Cairns (ICC/NZ),1989-2006,279,299,8273,30.75,158,9,48
N Hussain (ENG),1989-2004,184,258,8096,34.89,207,15,49
ADR Campbell (ZIM),1992-2003,248,293,8043,29.24,131*,9,48
GS Sobers (WI),1954-1974,94,161,8032,57.37,365*,26,30
UT Khawaja (AUS),2011-2026,137,207,8024,42.01,232,18,41
CD McMillan (NZ),1997-2007,260,281,8010,31.53,142,9,48
SK Raina (IND),2005-2018,322,291,7988,32.87,120,7,48
JL Langer (AUS),1993-2007,113,189,7856,44.89,250,23,30
RS Mahanama (SL),1986-1999,265,287,7738,29.42,225,8,46
MP Vaughan (ENG),1999-2008,170,232,7728,36.28,197,18,34
MG Bevan (AUS),1994-2004,250,226,7697,49.33,108*,6,52
Zaheer Abbas (PAK),1969-1985,140,184,7634,45.71,274,19,33
MC Cowdrey (ENG),1954-1975,115,189,7625,43.82,182,22,38
NS Sidhu (IND),1983-1999,187,205,7615,39.05,201,15,48
Aamer Sohail (PAK),1990-2000,203,238,7603,33.05,205,10,44
Imran Khan (PAK),1971-1992,263,277,7516,35.45,136,7,37
AK Markram (SA),2017-2025,202,236,7477,34.45,175,12,37
RA Jadeja (IND),2009-2025,370,313,7472,34.27,175*,6,41
Abdul Razzaq (Asia/PAK),1996-2013,343,334,7419,28.75,134,6,30
