Player,Span,Matches,Innings,Runs,Average,highestscore,100s,50s
Virandeep Singh (MAS),2019-2025,111,104,3180,37.85,116*,1,23
VT Trumper (AUS),1899-1912,48,89,3163,39.04,214*,8,13
MA Starc (AUS),2010-2026,300,252,3159,17.45,99,0,14
SMH Kirmani (IND),1976-1986,137,155,3132,26.1,102,2,12
KOA Powell (WI),2009-2021,91,128,3130,24.64,134,3,16
MD Shanaka (SL),2015-2026,197,183,3127,20.57,108*,2,11
MG Johnson (AUS),2005-2015,256,217,3125,19.29,123*,1,13
JJ Crowe (NZ),1983-1990,114,136,3119,25.99,128,3,13
Shan Masood (PAK),2013-2025,72,110,3108,29.6,156,6,17
CC McDonald (AUS),1952-1961,47,83,3107,39.32,170,5,17
BF Butcher (WI),1958-1969,44,78,3104,43.11,209*,7,16
GS Blewett (AUS),1995-2000,78,109,3103,30.42,214,4,17
Rashid Latif (PAK),1992-2003,203,174,3090,22.72,150,1,10
JD Ryder (NZ),2008-2014,88,96,3088,33.56,201,6,15
EC Joyce (ENG/IRE),2006-2018,97,94,3074,37.03,160*,6,16
AL Hassett (AUS),1938-1953,43,69,3073,46.56,198*,10,11
NJ O'Brien (IRE),2006-2018,134,131,3065,25.54,109,1,19
Babar Hayat (HKG),2014-2025,122,118,3064,29.74,122,2,20
CG Borde (IND),1958-1969,55,97,3061,35.59,177*,5,18
Nizakat Khan (HKG),2014-2025,140,137,3061,23.91,94,0,15
R Powell (WI),2016-2025,158,142,3047,24.37,107,2,11
C Green (AUS),2020-2026,89,106,3039,34.93,174*,3,15
Javed Omar (BAN),1995-2007,99,139,3032,22.79,119,1,18
KR Stackpole (AUS),1966-1974,49,86,3031,37.41,207,7,17
D Ganga (WI),1998-2008,84,121,3029,25.66,135,3,18
BC Broad (ENG),1984-1989,59,78,3022,39.76,162,7,17
DS Smith (WI),2003-2018,96,127,3022,24.56,108,2,15
MG Burgess (NZ),1968-1981,76,112,3020,28.49,119*,5,14
C Munro (NZ),2012-2020,123,117,3010,27.87,109*,3,19
J Charles (WI),2011-2025,122,121,3005,24.83,130,3,12
TP Ura (PNG),2014-2024,121,120,2997,27,151,2,20
DL Houghton (ZIM),1983-1997,85,96,2994,32.54,266,5,16
Saeed Ahmed (PAK),1958-1973,41,78,2991,40.41,172,5,16
Sadiq Mohammad (PAK),1969-1981,60,93,2962,32.91,166,5,12
Mashrafe Mortaza (Asia/BAN),2001-2020,310,264,2961,13.45,79,0,4
AD Nourse (SA),1935-1951,34,62,2960,53.81,231,9,14
KR Miller (AUS),1946-1956,55,87,2958,36.97,147,7,13
MS Sinclair (NZ),1999-2010,89,108,2939,29.68,214,5,12
HW Taylor (SA),1912-1932,42,76,2936,40.77,176,7,17
RW Chakabva (ZIM),2008-2022,132,149,2931,20.93,102,2,9
J Blackwood (WI),2014-2023,59,105,2921,29.8,112*,3,18
V Aravind (UAE),2019-2025,111,106,2917,29.76,115*,2,15
IDS Smith (NZ),1980-1992,161,165,2870,21.74,173,2,9
WW Armstrong (AUS),1902-1921,50,84,2863,38.68,159*,6,8
RL Dias (SL),1979-1987,78,91,2858,33.62,121,5,19
LRD Mendis (SL),1975-1989,103,117,2856,26.69,124,4,15
RP Burl (ZIM),2017-2025,167,153,2847,24.75,83,0,10
MP Stoinis (AUS),2015-2025,153,130,2833,28.9,146*,1,12
Samiullah Shinwari (AFG),2009-2022,149,130,2824,26.14,96,0,13
MS Chapman (HKG/NZ),2014-2025,132,114,2822,29.7,132,4,14
Imran Nazir (PAK),1999-2012,112,116,2822,24.97,160,4,13
IK Pathan (IND),2003-2012,173,141,2821,26.12,102,1,11
MH Richardson (NZ),2000-2004,42,69,2818,42.69,145,4,19
CB Wishart (ZIM),1995-2005,117,132,2817,22.9,172*,3,10
BM McMillan (SA),1991-1998,116,114,2809,32.66,127,4,13
GH Dockrell (IRE),2010-2025,284,197,2806,21.41,91*,0,8
Haris Sohail (PAK),2013-2023,75,84,2806,36.92,147,4,19
MAK Pataudi (IND),1961-1975,46,83,2793,34.91,203*,6,16
Sabbir Rahman (BAN),2014-2022,125,128,2791,24.48,102,1,14
